lat,lon,diameter
-87.031491,84.372185,169.1
-87.025907,84.669165,307.7
-87.018277,84.798228,97.5
-87.017817,84.881006,85.7
-87.020458,85.012205,366.8
-87.010664,85.141808,178.6
-87.028220,85.047534,110.2
-87.021429,84.162600,295.9
-87.015285,84.382805,273.9
-87.017082,83.516530,240.9
-87.030806,83.950623,60.1
-87.013581,83.834875,225.0
-87.026767,83.952509,81.9
-87.023779,83.677716,82.5
-87.020340,83.865305,60.4
-87.031113,84.253314,75.5
-87.007903,83.646319,84.2
-87.011896,83.676802,79.3
-87.026848,84.340559,131.9
