b,synthetic_area,total_area,area_lt_100m,fraction_lt_100m
1.0,1051793.9501258726,1052307.0097222927,93730.96864750533,8.9071884708096
1.1,581728.7285304253,582241.7881268454,66170.73259054034,11.364820241333245
1.2,325834.03188043024,326347.0914768503,47297.82110029157,14.493103304904642
1.3,185441.86335969478,185954.92295611484,34334.707506909384,18.463994908600693
1.4,107747.14987114364,108260.2094675637,25416.468405425247,23.477202316923634
1.5,64349.27995763674,64862.3395540568,19290.46429785695,29.740623650770598
1.6,39891.37685485128,40404.436451271344,15117.16945531274,37.41462765739694
1.7000000000000002,26024.318595828583,26537.37819224865,12338.421017196879,46.49449892077443
1.8,18187.948537818178,18701.008134238244,10590.957020120168,56.63308065584975
1.9,13888.583380582058,14401.642977002124,9650.838563925827,67.01206646586905
2.0,11775.154209429958,12288.213805850024,9399.569296984953,76.49255982598643
2.1,11144.654652789706,11657.714249209772,9806.352922038062,84.11900233961211
2.2,11681.265192116869,12194.324788536935,10923.599605798961,89.57937233283718
2.3,13326.011163105888,13839.070759525954,12894.96791483695,93.17798961292874
2.4000000000000004,16223.691818699317,16736.751415119383,15977.285645169417,95.4622868493829
2.5,20721.508378870196,21234.56797529026,20579.98561309051,96.91737377015882
